id,title,title_fr
17029,Hiking Trail,Sentier de randonnée
17030,Himalayan Restaurant,Restaurant himalayen
17031,Hindu Temple,Temple Hindou
17032,Historical Place,Lieu historique
17033,Historical Tour Agency,Agence de visites historiques
17034,History Museum,Musée d'histoire
17035,Hobby Store,Magasin de loisirs
17036,Hockey Arena,Aréna de hockey
17037,Hockey Field / Rink,Terrain de Hockey / Patinoire
17038,Holiness Church,Église de la Sainteté
17039,Home,Maison
17040,Home & Auto,Maison et automobile
17041,Home & Garden Store,Maison & Jardin Magasin
17042,Home & Garden Website,Site Web de la maison et du jardin
17043,Home Decor,Décoration de maison
17044,Home Goods Store,Magasin d'articles ménagers
17045,Home Goods Stores,Magasins d'articles ménagers
17046,Home Health Care Service,Service de soins à domicile
17047,Home Improvement,Amélioration de l'habitat
17048,Home Improvement Service,Service d'amélioration de l'habitat
17049,Home Inspector,Inspecteur d'habitation
17050,Home Mover,Déménageur
17051,Home Security Company,Entreprise de sécurité à domicile
17052,Home Services,Services à domicile
17053,Home Staging Service,Service de mise en scène à domicile
17054,Home Theater Store,Magasin de cinéma maison
17055,Home Window Service,Service de fenêtre d'accueil
17056,Homebrew Supply Store,Magasin de fournitures de brassage maison
17057,Honduran Restaurant,Restaurant hondurien
17058,Hong Kong Restaurant,Restaurant hongkongais
17059,Hookah Lounge,Salon de narguilé
17060,Horse Riding School,École d'équitation
17061,Horse Trainer,Entraîneur de chevaux
17062,Horse-Drawn Carriage Service,Service de calèche
17063,Horseback Riding Center,Centre d'équitation
17064,Hospice,Hospice
17065,Hospital,Hôpital
17066,Hospitality Service,Service d'accueil
17067,Hostel,Hôtel
17068,Hot Air Balloon Tour Agency,Agence d'excursion en montgolfière
17069,Hot Dog Joint,Restaurant de hot-dogs
17070,Hot Pot Restaurant,Restaurant de fondue chinoise
17071,Hot Spring,Source chaude
17072,Hotel,Hôtel
17073,Hotel & Lodging,Hôtel & Hébergement
17074,Hotel Bar,Bar de l'hôtel
17075,Hotel Resort,Complexe hôtelier
17076,Hotel Services Company,Société de services hôteliers
17077,House Painting,Peinture de maison
17078,House Sitter,Gardien de maison
17079,Household Supplies,Articles ménagers
17080,Housing & Homeless Shelter,Logement et refuge pour sans-abri
17081,Housing Assistance Service,Service d'aide au logement
17082,Huaiyang Restaurant,Restaurant Huai Yang
17083,Hunan Restaurant,Restaurant du Hunan
17084,Hungarian Restaurant,Restaurant Hongrois
17085,Hyderabadi Restaurant,Restaurant Hyderabadi
18000,Iberian Restaurant,Restaurant Ibérique
18001,Ice Cream Shop,Glacier
18002,Ice Skating Rink,Patinoire
18003,Image Consultant,Conseiller en images
18004,Immigration Lawyer,Avocat spécialisé en droit de l'immigration
18005,Imperial Restaurant,Restaurant Impérial
18006,In-Home Service,Service à domicile
18007,Independent Bookstore,Librairie Indépendante
18008,Independent Church,Église indépendante
18009,Indian Chinese Restaurant,Restaurant chinois indien
18010,Indian Restaurant,Restaurant indien
18011,Indo Chinese Restaurant,Restaurant indo-chinois
18012,Indonesian Restaurant,Restaurant indonésien
18013,Industrial Company,Société industrielle
18014,Information Technology Company,Société de technologie de l'information
18015,Inn,auberge
18016,Insurance Agent,Agent d'assurance
18017,Insurance Broker,Courtier d'assurance
18018,Insurance Company,Compagnie d'assurance
18019,Intellectual Property Lawyer,Avocat en Propriété Intellectuelle
18020,Interdenominational Church,Église interconfessionnelle
18021,Interest,Intérêt
18022,Interior Design Studio,Studio de design d'intérieur
18023,Internet Cafe,Cyber ​​café
18024,Internet Company,Société Internet
18025,Internet Lawyer,Avocat Internet
18026,Internet Marketing Service,Service de marketing Internet
18027,Internet Service Provider,Fournisseur de services Internet
18028,Internist (Internal Medicine),Interniste (Médecine Interne)
18029,Inventory Control Service,Service de contrôle des stocks
18030,Investing Service,Service d'investissement
18031,Investment Bank,Banque d'investissement
18032,Investment Management Company,Société de gestion de placements
18033,Irani Restaurant,Restaurant iranien
18034,Irish Pub,pub irlandais
18035,Irish Restaurant,Restaurant Irlandais
18036,Island,Île
18037,Israeli Restaurant,Restaurant Israélien
18038,Italian Restaurant,Restaurant italien
19000,Jain Restaurant,Restaurant jaïn
19001,Jamaican Restaurant,Restaurant jamaïcain
19002,Janguh Restaurant,Janguh Restaurant
19003,Janitorial Service,Service de conciergerie
19004,Japanese Restaurant,Restaurant japonais
19005,Javanese Restaurant,Restaurant javanais
19006,Jazz & Blues Club,Club de jazz et de blues
19007,Jet Ski Rental,Location de Jet Ski
19008,Jewelry & Watches Company,Bijoux & Montres Entreprise
19009,Jewelry & Watches Store,Magasin de bijoux et de montres
19010,Jewelry Wholesaler,Grossiste en bijoux
19011,Jewelry/Watches,Bijoux & Montres
19012,Jiangsu Restaurant,Restaurant Jiangsu
19013,Journalist,Journaliste
19014,Junior High School,Lycée
19015,Just For Fun,Juste pour le fun
19016,Juvenile Lawyer,Avocat pour mineurs
20000,Kaiseki Restaurant,Restaurant Kaiseki
20001,Karaoke,Karaoké
20002,Karnataka Restaurant,Restaurant Karnataka
20003,Kebab Shop,Boutique de kebabs
20004,Kennel,Chenil
20005,Kerala Restaurant,Restaurant du Kerala
20006,Kids Entertainment Service,Service de divertissement pour enfants
20007,Kingdom Hall,salle du Royaume
20008,Kitchen & Bath Contractor,Entrepreneur en cuisine et salle de bain
20009,Kitchen/Cooking,Cuisine/Cuisine
20010,Kiteboarding Center,Centre de kitesurf
20011,Korean Restaurant,Restaurant coréen
20012,Kosher Restaurant,Restaurant casher
20013,Kurdish Restaurant,Restaurant kurde
20014,Kushikatsu Restaurant,Restaurant Kushikatsu
21000,Labor & Employment Lawyer,Avocat du travail et de l'emploi
21001,Labor Union,Syndicat de travail
21002,Lake,Lac
21003,Landlord & Tenant Lawyer,Avocat propriétaire et locataire
21004,Landmark & Historical Place,Point de repère et lieu historique
21005,Landscape Architect,Architecte paysagiste
21006,Landscape Company,Paysagiste
21007,Landscape Designer,Paysagiste
21008,Language School,École de langue
21009,Laser Hair Removal Service,Service d'épilation au laser
21010,Laser Tag Center,Centre de laser tag
21011,Lasik/Laser Eye Surgeon,Chirurgien des yeux Lasik / Laser
21012,Latin American Restaurant,Restaurant latino-américain
21013,Laundromat,Laverie
21014,Law Enforcement Agency,Police
21015,Lawyer & Law Firm,Avocat & Cabinet d'avocats
21016,Lebanese Restaurant,Restaurant Libanais
21017,Legal,Juridique
21018,Legal Service,Service légale
21019,Library,Bibliothèque
21020,Licensed Financial Representative,Représentant financier autorisé
21021,Lifestyle Service,Service de style de vie
21022,Lifestyle Services,Services de style de vie
21023,Light Rail Station,Station de métro léger
21024,Lighthouse,Phare
21025,Lighting Store,Magasin d'éclairage
21026,Ligurian Restaurant,Restaurant ligurien
21027,Limo Service,Service de limousine
21028,Lingerie & Underwear Store,Magasin de lingerie et de sous-vêtements
21029,Literary Arts,Arts littéraires
21030,Literary Editor,Éditeur littéraire
21031,Live & Raw Food Restaurant,Restaurant d'aliments vivants et crus
21032,Live Music Venue,Lieu de musique en direct
21033,Livery Stable,Écurie de louage
21034,Livestock Farm,Ferme d'élevage
21035,Loan Service,Service de prêt
21036,Lobbyist,Lobbyiste
21037,Local & Travel Website,Site Web local et de voyage
21038,Local Business,Entreprise locale
21039,Local Events,Événements locaux
21040,Local Service,Service local
21041,Locality,Localité
21042,Locksmith,Serrurier
21043,Lodge,Loge
21044,Logging Contractor,Entrepreneur en exploitation forestière
21045,Lombard Restaurant,Restaurant lombard
21046,Lottery Retailer,Détaillant de loterie
21047,Lounge,Salon
21048,Luggage Service,Service de bagages
21049,Lumber Yard,Cour à bois
21050,Lutheran Church,Église luthérienne
22000,Machine Shop,Atelier
22001,Magazine,Magazine
22002,Magician,Magicien
22003,Maharashtrian Restaurant,Restaurant maharashtrien
22004,Maid & Butler,Femme de ménage et majordome
22005,Makeup Artist,Maquilleur
22006,Malaysian Restaurant,Restaurant malaisien
22007,Malpractice Lawyer,Avocat en faute professionnelle
22008,Manadonese Restaurant,Restaurant Manadonais
22009,Management Service,Service de gestion
22010,Manufacturer/Supplier,Fabricant/fournisseur
22011,Marche Restaurant,Restaurant des Marches
22012,Marina,Marina
22013,Marine,Marin
22014,Marine Service Station,Station-service maritime
22015,Marine Supply Store,Magasin de fournitures marines
22016,Market,Marché
22017,Market Research Consultant,Consultante en études de marché
22018,Marketing Agency,Agence de commercialisation
22019,Marketing Consultant,Consultant en marketing
22020,Marriage Therapist,Thérapeute conjugal
22021,Martial Arts School,École d'arts martiaux
22022,Masonry Contractor,Entrepreneur en maçonnerie
22023,Massage School,École de massages
22024,Massage Service,Service de massages
22025,Massage Therapist,Massothérapeute
22026,Maternity & Nursing Clothing Store,Magasin de vêtements de maternité et d'allaitement
22027,Maternity Clinic,Maternité
22028,Mattress Manufacturer,Fabricant de matelas
22029,Mattress Store,Magasin de matelas
22030,Mattress Wholesaler,Grossiste en matelas
22031,Meat Wholesaler,Grossiste en viande
22032,Media,Médias
22033,Media Agency,Agence média
22034,Media/News Company,Société de presse/médias
22035,Medical & Health,Médical & Santé
22036,Medical Cannabis Dispensary,Dispensaire de cannabis médical
22037,Medical Center,Centre médical
22038,Medical Company,Société médicale
22039,Medical Device Company,Entreprise de dispositifs médicaux
22040,Medical Equipment Manufacturer,Fabricant de matériel médical
22041,Medical Equipment Supplier,Fournisseur d'équipement médical
22042,Medical Lab,Laboratoire médical
22043,Medical Lawyer,Avocat médical
22044,Medical Procedure,Procédure médicale
22045,Medical Research Center,Centre de recherche médicale
22046,Medical School,École de médecine
22047,Medical Service,Service médical
22048,Medical Spa,Spa médical
22049,Medical Supply Store,Magasin de fournitures médicales
22050,Meditation Center,Centre de méditation
22051,Mediterranean Restaurant,Restaurant méditerranéen
22052,Meeting Room,Salle de réunion
22053,Men’s Clothing Store,Magasin de vêtements pour hommes
22054,Mental Health Service,Service de santé mentale
22055,Merchandising Service,Service de marchandisage
22056,Metal & Steel Company,Entreprise métallurgique et sidérurgique
22057,Metal Fabricator,Fabricant de métaux
22058,Metal Plating Service Company,Société de services de placage de métal
22059,Metal Supplier,Fournisseur de métal
22060,Methodist Church,Eglise Méthodiste
22061,Metro Area,Station de métro
22062,Mexican Restaurant,Restaurant mexicain
22063,Middle Eastern Restaurant,Restaurant du Moyen-Orient
22064,Middle School,École intermédiaire
22065,Military Base,Base militaire
22066,Military Lawyer,Avocat militaire
22067,Miniature Golf Course,Parcours de golf miniature
22068,Mining Company,Société minière
22069,Mission,Mission
22070,Mobile Home Dealer,Concessionnaire de mobil-homes
22071,Mobile Home Park,Parc de maisons mobiles
22072,Mobile Phone Shop,Boutique de téléphonie mobile
22073,Modeling Agency,Agence de mannequins
22074,Modern Art Museum,Musée d'art moderne
22075,Modern European Restaurant,Restaurant européen moderne
22076,Molecular Gastronomy Restaurant,Restaurant Gastronomie Moléculaire
22077,Monarch,Monarque
22078,Mongolian Restaurant,Restaurant mongol
22079,Monjayaki Restaurant,Restaurant Monjayaki
22080,Monument,Monument
22081,Moroccan Restaurant,Restaurant Marocain
22082,Mortgage Brokers,Courtiers hypothécaires
22083,Mosque,Mosquée
22084,Motel,Motel
22085,Motivational Speaker,Conférencier motivateur
22086,Motor Vehicle Company,Compagnie de véhicules automobiles
22087,Motorcycle Dealership,Concessionnaire de motos
22088,Motorcycle Manufacturer,Fabricant de motos
22089,Motorcycle Repair Shop,Atelier de réparation de motos
22090,Motorsports Store,Magasin de sport automobile
22091,Mountain,Montagne
22092,Mountain Biking Shop,Boutique VTT
22093,Movie,Film
22094,Movie & Music Store,Magasin de films et de musique
22095,Movie Character,Personnage de film
22096,Movie Genre,Genre de film
22097,Movie Theater,Cinéma
22098,Movie/Television Studio,Studio de cinéma/télévision
22099,Moving & Storage Service,Service de déménagement et d'entreposage
22100,Moving Supply Store,Magasin de matériel de déménagement
22101,Mughalai Restaurant,Restaurant moghol
22102,Museum,Musée
22103,Museum/Art Gallery,Musée/Galerie d'art
22104,Music,Musique
22105,Music Award,Prix ​​​​de la musique
22106,Music Chart,Graphique musical
22107,Music Lessons & Instruction School,Cours de musique et école d'instruction
22108,Music Production Studio,Studio de production musicale
22109,Music Video,Clip musical
22110,Musical Genre,Genre musical
22111,Musical Instrument,Instrument de musique
22112,Musical Instrument Store,Magasin d'instruments de musique
22113,Musician,Musicien
22114,Musician/Band,Musicien/Groupe
23000,Nabe Restaurant,Nabé Restaurant
23001,Nail Salon,Salon de manucure
23002,Nanny,Nounou
23003,National Forest,Forêt nationale
23004,National Park,parc national
23005,Nature Preserve,Réserve naturelle
23006,Naturopath,Naturopathe
23007,Nazarene Church,Église nazaréenne
23008,Neapolitan Restaurant,Restaurant Napolitain
23009,Neighborhood,Quartier
23010,Nepalese Restaurant,Restaurant népalais
23011,Nephrologist,Néphrologue
23012,Neurologist,Neurologue
23013,New American Restaurant,Nouveau restaurant américain
23014,News & Media Website,Site Web d'actualités et de médias
23015,News Personality,Personnalité de l'actualité
23016,Newspaper,Un journal
23017,Newsstand,Kiosque à journaux
23018,Nicaraguan Restaurant,Restaurant nicaraguayen
23019,Nigerian Restaurant,Restaurant nigérian
23020,Night Market,Marché de nuit
23021,No,Non
23022,Non-Business Places,Lieux non commerciaux
23023,Non-Governmental Organization (NGO),Organisation Non Gouvernementale (ONG)
23024,Non-Profits & Religious Organizations,Organisations à but non lucratif et religieuses
23025,Nondenominational Church,Église non confessionnelle
23026,Nonprofit Organization,Organisation à but non lucratif
23027,Noodle House,Maison de nouilles
23028,North Indian Restaurant,Restaurant indien du nord
23029,Not a Business,Pas une entreprise
23030,Notary Public,Notaire
23031,Nurseries & Gardening Store,Pépinières et magasin de jardinage
23032,Nursing Agency,Agence Infirmière
23033,Nursing Home,Maison de repos
23034,Nursing School,École d'infirmière
23035,Nutritionist,Nutritionniste
24000,Observatory,Observatoire
24001,Obstetrician-Gynecologist (OBGYN),Obstétricien-gynécologue (OBGYN)
24002,Occupational Safety and Health Service,Service de sécurité et de santé au travail
24003,Occupational Therapist,Ergothérapeute
24004,Ocean,Océan
24005,Office Equipment Store,Magasin d'équipement de bureau
24006,Office Supplies,Fournitures de bureau
24007,Oil Lube & Filter Service,Service de lubrification et de filtrage d'huile
24008,Okonomiyaki Restaurant,Restaurant Okonomiyaki
24009,Oncologist,Oncologiste
24010,Onsen,Onsen
24011,Opera House,Opéra
24012,Ophthalmologist,Ophtalmologiste
24013,Optician,Opticien
24014,Optometrist,Optométriste
24015,Oral Surgeon,Chirurgien dentiste
24016,Orchestra,Orchestre
24017,Organic Grocery Store,Épicerie Bio
24018,Organization,Organisme
24019,Organization/Institution Type,Type d'organisation/établissement
24020,Orthodontist,Orthodontiste
24021,Orthopedist,Orthopédiste
24022,Orthotics & Prosthetics Service,Service d'orthèses et de prothèses
24023,Oryshkivtsi; Ternopil’S’Ka Oblast’; Ukraine,Oryshkivtsi; Ternopil'S'Ka Oblast' ; Ukraine
24024,Osteopathic Doctor,Docteur Ostéopathe
24025,Other,Autre
24026,Otolaryngologist (ENT),Oto-rhino-laryngologiste (ORL)
24027,Outdoor & Sporting Goods Company,Entreprise d'articles de plein air et de sport
24028,Outdoor Equipment Store,Magasin d'équipement de plein air
24029,Outdoor Recreation,Loisirs de plein air
24030,Outlet Store,Magasin d'usine
25000,Padangnese Restaurant,Restaurant Padangnais
25001,Paddleboarding Center,Centre de paddle
25002,Paintball Center,Centre de paintball
25003,Painting Lessons,Cours de peinture
25004,Pakistani Restaurant,restaurant pakistanais
25005,Palace,Palais
25006,Paraguayan Restaurant,Restaurant paraguayen
25007,Park,Se garer
25008,Parking Garage / Lot,Garage / terrain de stationnement
25009,Parsi Restaurant,Restaurant Parsi
25010,Party & Entertainment Service,Service de fête et de divertissement
25011,Party Entertainment Service,Service de divertissement de fête
25012,Party Supply & Rental Shop,Magasin d'articles de fête et de location
25013,Passport & Visa Service,Passeports et visas
25014,Patio/Garden,Terrasse/Jardin
25015,Paving & Asphalt Service,Service de pavage et d'asphalte
25016,Pawn Shop,Prêteur sur gage
25017,Pediatric Dentist,Dentiste pédiatrique
25018,Pediatrician,Pédiatre
25019,Pentecostal Church,Église pentecôtiste
25020,People,Personnes
25021,Performance & Event Venue,Lieu de spectacle et d'événement
25022,Performance Art,Art de la performance
25023,Performance Art Theatre,Théâtre d'art de la performance
25024,Performing Arts,Arts performants
25025,Performing Arts School,École des arts du spectacle
25026,Periodontist,Parodontiste
25027,Persian/Iranian Restaurant,Restaurant persan/iranien
25028,Personal Assistant,Assistant personnel
25029,Personal Blog,Blogue personnel
25030,Personal Chef,Chef personnel
25031,Personal Coach,Entraîneur personnel
25032,Personal Goods & General Merchandise Stores,Magasins d'articles personnels et de marchandises générales
25033,Personal Injury Lawyer,Avocat en dommages corporels
25034,Personal Trainer,Entraîneur personnel
25035,Personal Website,Site Web personnel
25036,Peruvian Restaurant,Restaurant péruvien
25037,Pest Control Service,Service de lutte antiparasitaire
25038,Pet,Animaux
25039,Pet Adoption Service,Service d'adoption d'animaux de compagnie
25040,Pet Breeder,Éleveur d'animaux
25041,Pet Cafe,Café pour animaux de compagnie
25042,Pet Cemetery,Cimetière animalier
25043,Pet Groomer,Toiletteur pour animaux de compagnie
25044,Pet Service,Service pour animaux de compagnie
25045,Pet Sitter,Garde d'animaux
25046,Pet Store,Animalerie
25047,Pet Supplies,Fournitures pour animaux
25048,Petroleum Service,Service pétrolier
25049,Petting Zoo,Zoo pour enfants
25050,Pharmaceutical Company,Compagnie pharmaceutique
25051,Pharmaceuticals,Médicaments
25052,Pharmacy / Drugstore,Pharmacie / Parapharmacie
25053,Pho Restaurant,Restaurant Pho
25054,Phone/Tablet,Téléphone/Tablette
25055,Photo Booth Service,Service de photomaton
25056,Photographer,Photographe
25057,Photography Museum,Musée de la photographie
25058,Photography Videography,Photographie Vidéographie
25059,Physical Therapist,Physiothérapeute
25060,Picnic Ground,Terrain de pique-nique
25061,Piedmont Restaurant,Restaurant Piémont
25062,Pier,Jetée
25063,Pilates Studio,Studio Pilates
25064,Pizza Place,Pizzeria
25065,Planetarium,Planétarium
25066,Plastic Company,Entreprise de plastique
25067,Plastic Fabricator,Fabricant de plastique
25068,Plastic Manufacturer,Fabricant de plastique
25069,Plastic Surgeon,Chirurgien plastique
25070,Playground,Terrain de jeux
25071,Playlist,Playlist
25072,Plumbing Service,Service de plomberie
25073,Podcast,Podcast
25074,Podiatrist,Podologue
25075,Police Station,Poste de police
25076,Polish Restaurant,Restaurant polonais
25077,Political Candidate,Candidat politique
25078,Political Ideology,Idéologie politique
25079,Political Organization,Organisation politique
25080,Political Party,Parti politique
25081,Politician,Politicien
25082,Polynesian Restaurant,Restaurant polynésien
25083,Pond,Étang
25084,Pool & Billiard Hall,Billard et salle de billard
25085,Pop-Up Shop,Boutique éphémère
25086,Port,Port
25087,Portable Building Service,Service de construction mobile
25088,Portable Toilet Rentals,Location de toilettes portables
25089,Portuguese Restaurant,Restaurant portugais
25090,Post Office,Bureau de poste
25091,Poultry Farm,Élevage de volailles
25092,Powder Coating Service,Service de revêtement en poudre
25093,Pregnancy Care Center,Centre de soins de grossesse
25094,Presbyterian Church,Église Presbytérienne
25095,Preschool,Préscolaire
25096,Printing Service,Service d'impression
25097,Prison & Correctional Facility,Prison et établissement correctionnel
25098,Private Investigator,Détective privé
25099,Private Members Club,Club des membres privés
25100,Private Plane Charter,Affrètement d'avion privé
25101,Private School,École privée
25102,Proctologist,Proctologue
25103,Producer,Producteur
25104,Product/Service,Produit/Service
25105,Professional Gamer,Joueur professionnel
25106,Professional Service,Service professionnel
25107,Professional Services,Services professionnels
25108,Professional Sports League,Ligue sportive professionnelle
25109,Professional Sports Team,Équipe sportive professionnelle
25110,Profile,Profil
25111,Promenade,Promenade
25112,Property Lawyer,Avocat immobilier
25113,Property Management Company,Société de gestion immobilière
25114,Prosthodontist,Prosthodontiste
25115,Psychologist,Psychologue
25116,Psychotherapist,Psychothérapeute
25117,Pub,Pub
25118,Public & Government Service,Service public et gouvernemental
25119,Public Figure,Personnage public
25120,Public Figure Type,Type de personnage public
25121,Public Garden,Jardin publique
25122,Public Relations Agency,Agence de relations publiques
25123,Public School,École publique
25124,Public Service,Service publique
25125,Public Square / Plaza,Place publique / Plaza
25126,Public Swimming Pool,Piscine publique
25127,Public Toilet,Toilette publique
25128,Public Utility Company,Entreprise de service public
25129,Publisher,Éditeur
25130,Publishers,Éditeurs
25131,Puerto Rican Restaurant,Restaurant portoricain
25132,Puglia Restaurant,Pouilles Restaurant
25133,Pulmonologist,Pneumologue
25134,Punjabi Restaurant,Restaurant pendjabi
26000,Quay,Quai
27000,Race Track,Piste de course
27001,Racquetball Court,Terrain de racquetball
27002,Radio Station,Station de radio
27003,Radiologist,Radiologue
27004,Rafting/Kayaking Center,Centre de rafting/kayak
27005,Railroad Company,Compagnie de chemin de fer
27006,Railway Station,Gare
27007,Rajasthani Restaurant,Restaurant du Rajasthan
27008,Ramen Restaurant,Restaurant Ramen
27009,Real Estate,Immobilier
27010,Real Estate Agent,Agent immobilier
27011,Real Estate Appraiser,Évaluateur immobilier
27012,Real Estate Company,Société immobilière
27013,Real Estate Developer,Promoteur immobilier
27014,Real Estate Investment Firm,Société d'investissement immobilier
27015,Real Estate Lawyer,Avocat immobilier
27016,Real Estate Service,Service immobilier
27017,Real Estate Title & Development,Titre et développement immobilier
27018,Record Label,Maison de disque
27019,Recreation & Sports Website,Site Web de loisirs et de sports
27020,Recreation Center,Centre de loisirs
27021,Recreation Spot,Lieu de loisirs
27022,Recreational Vehicle Dealership,Concessionnaire de véhicules récréatifs
27023,Recruiter,Recruteur
27024,Recycling & Waste Management,Recyclage et gestion des déchets
27025,Recycling Center,Centre de recyclage
27026,Reference Website,Site de référence
27027,Reflexologist,Réflexologue
27028,Refrigeration Service,Service de réfrigération
27029,Region,Région
27030,Regional Website,Site Web régional
27031,Religious Bookstore,Librairie religieuse
27032,Religious Center,Centre religieux
27033,Religious Organization,Organisation religieuse
27034,Religious Place of Worship,Lieu de culte religieux
27035,Religious School,École religieuse
27036,Rent to Own Store,Louer pour posséder un magasin
27037,Rental Shop,Magasin de location
27038,Reproductive Service,Service de reproduction
27039,Reptile Pet Store,Animalerie de reptiles
27040,Reservoir,Réservoir
27041,Residence,Résidence
27042,Restaurant,Restaurant
27043,Restaurant Supply Store,Magasin de fournitures pour restaurants
27044,Restaurant Wholesaler,Grossiste en restauration
27045,Restaurants,Restaurants
27046,Retail Bank,Banque de détail
27047,Retail Company,Entreprise de vente au détail
27048,Retirement & Assisted Living Facility,Maison de retraite et de vie assistée
27049,Rheumatologist,Rhumatologue
27050,Rideshare Service,Service de covoiturage
27051,River,Rivière
27052,Robotics Company,Entreprise de robotique
27053,Rock Climbing Gym,Salle d'escalade
27054,Rock Climbing Spot,Site d'escalade
27055,Rodeo,Rodeo
27056,Roller Skating Rink,Patinoire à roulettes
27057,Roman Restaurant,Restaurant romain
27058,Romanian Restaurant,Restaurant Roumain
27059,Roofing Service,Service de toiture
27060,Rose Garden,Roseraie
27061,Rugby Pitch,Terrain de rugby
27062,Rugby Stadium,Stade de rugby
27063,Russian Restaurant,restaurant russe
27064,RV Park,Parc de camping-car
27065,RV Rental,Location de VR
27066,RV Repair Shop,Atelier de réparation de VR
28000,Safety & First Aid Service,Service de sécurité et premiers soins
28001,Saint Petersburg; Russia,Saint-Pétersbourg; Russie
28002,Sake Bar,Barre de saké
28003,Salad Bar,Buffet de salade
28004,Salsa Club,club de salsa
28005,Salvadoran Restaurant,Restaurant salvadorien
28006,Samgyetang Restaurant,Restaurant Samgyetang
28007,Sandblasting Service,Service de sablage
28008,Sandwich Shop,Sandwicherie
28009,Sardinian Restaurant,Restaurant sarde
28010,Satire/Parody,Satire/Parodie
28011,Saxon Restaurant,Restaurant saxon
28012,Scandinavian Restaurant,Restaurant Scandinave
28013,School,École
28014,School Fundraiser,Collecte de fonds pour l'école
28015,School Sports League,Ligue sportive scolaire
28016,School Sports Team,Équipe sportive de l'école
28017,School Transportation Service,Service de transport scolaire
28018,Science,La science
28019,Science Museum,Musée des sciences
28020,Science Website,Site Web scientifique
28021,Science; Technology & Engineering,La science; Technologie et Ingénierie
28022,Scientist,Scientifique
28023,Scooter Rental,Location de scooter
28024,Scottish Restaurant,Restaurant écossais
28025,Screen Printing & Embroidery,Sérigraphie & Broderie
28026,Scuba Diving Center,Centre de plongée sous-marine
28027,Scuba Instructor,Instructeur de plongée
28028,Sculpture Garden,Jardin de sculptures
28029,Seafood Restaurant,Restaurant de fruits de mer
28030,Seaplane Base,Base d'hydravion
28031,Seasonal Store,Magasin saisonnier
28032,Secretarial Service,Service de secrétariat
28033,Security Guard Service,Service de gardiennage
28034,Self-Storage Facility,Installation de libre-entreposage
28035,Senegalese Restaurant,Restaurant sénégalais
28036,Senior Center,Centre pour personnes âgées
28037,Septic Tank Service,Service de fosse septique
28038,Service Apartments,Appartements de service
28039,Seventh Day Adventist Church,Église adventiste du septième jour
28040,Sewer Service,Service d'égout
28041,Sewing & Alterations,Couture et retouches
28042,Sex Therapist,Sexothérapeute
28043,Shabu Shabu Restaurant,Restaurant Shabu Shabu
28044,Shandong Restaurant,Restaurant du Shandong
28045,Shanghainese Restaurant,Restaurant shanghaien
28046,Shaved Ice Shop,Boutique de glace pilée
28047,Shipping Supply & Service,Fourniture et service d'expédition
28048,Shoe Repair Shop,Atelier de cordonnerie
28049,Shooting/Hunting Range,Stand de tir/chasse
28050,Shopping & Retail,Achats et vente au détail
28051,Shopping District,Quartier commerçant
28052,Shopping Mall,Centre commercial
28053,Shopping Service,Service d'achat
28054,Show,Spectacle
28055,Shredding Service,Service de déchiquetage
28056,Sicilian Restaurant,Restaurant sicilien
28057,Sightseeing Tour Agency,Agence de visites guidées
28058,Signs & Banner Service,Service d'enseignes et de bannières
28059,Sikh Temple,Temple sikh
28060,Singaporean Restaurant,Restaurant singapourien
28061,Skate Shop,Boutique de skate
28062,Skateboard Park,Parc de planche à roulettes
28063,Ski & Snowboard School,École de ski et de planche à neige
28064,Ski & Snowboard Shop,Magasin de ski et de planche à neige
28065,Ski Resort,Station de ski
28066,Skin Care Service,Service de soins de la peau
28067,Skydiving Center,Centre de parachutisme
28068,Slovakian Restaurant,Restaurant slovaque
28069,Smog Emissions Check Station,Poste de contrôle des émissions de smog
28070,Smoothie & Juice Bar,Bar à smoothies et à jus
28071,Snorkeling Spot,Spot de plongée en apnée
28072,Soba Restaurant,Soba Restaurant
28073,Soccer Field,Terrain de football
28074,Soccer Stadium,Stade de football
28075,Social Club,Club social
28076,Social Media Agency,Agence de médias sociaux
28077,Social Media Company,Société de médias sociaux
28078,Social Service,Service social
28079,Society & Culture Website,Site Web de la société et de la culture
28080,Software,Logiciel
28081,Software Company,Société de logiciels
28082,Solar Energy Company,Société d'énergie solaire
28083,Solar Energy Service,Service d'énergie solaire
28084,Song,Chanson
28085,Sorority & Fraternity,Sororité & Fraternité
28086,Soul Food Restaurant,Restaurant de cuisine soul
28087,Soup Restaurant,Restaurant de soupe
28088,South African Restaurant,Restaurant sud-africain
28089,South Indian Restaurant,Restaurant du sud de l'Inde
28090,South Tyrolean Restaurant,Restaurant du Tyrol du Sud
28091,Southern Restaurant,Restaurant du Sud
28092,Southwestern Restaurant,Restaurant du sud-ouest
28093,Souvenir Shop,Boutique de souvenirs
28094,Spa,Spa
28095,Spanish Restaurant,Restaurant Espagnol
28096,Speakeasy,Bar clandestin
28097,Specialty Grocery Store,Épicerie spécialisée
28098,Specialty School,École de spécialité
28099,Speech Pathologist,Orthophoniste
28100,Speech Therapist,Orthophoniste
28101,Spiritual Leader,Leader spirituel
28102,Sport,sport
28103,Sport Psychologist,Psychologue du sport
28104,Sporting Goods Store,Magasin d'articles de sport
28105,Sports,Des sports
